京东商城CTO|用户研究|15k-20k|北京|经验3-5年|['调研', '用户研究', '用户体验']|16:13|拉勾网|['班车', '加班餐', '餐补']|['团队协作能力', '设计能力', '逻辑思维能力', '领悟能力', '文案能力', '创新能力', '专业素质良好', '常用办公软件的使用', '执行能力', '抗压能力', '责任心']|['北京 - 朝阳区 - 北辰西路8号北辰世纪中心A座']
北京捷越联合|用户研究员|8k-12k|北京|经验1-3年|['金融', '用户体验', '用户研究']|10:59|拉勾网|['六险一金', '地铁周边']|['专业素质良好']|['北京 - 东城区 - 朝阳门银河SOHO']
苏宁云商IT总部|用户研究|12k-20k|南京|经验3-5年|['用户体验', '用户研究']|09:45|拉勾网|['平台大', '挑战大', '提升快。']|['创新能力', '钻研能力', '逻辑思维能力', '专业素质良好', '常用办公软件的使用', '设计能力', '团队协作能力', '学习能力', '主动性', '抗压能力', '领悟能力', '文案能力']|['南京 - 玄武区 - 苏宁大道1号']
考拉阅读产品&研发部|用户研究|20k-30k|北京|经验3-5年|['用户研究', '教育']|10:57|拉勾网|['扁平管理', '弹性工作', '领导好', '发展空间大']|['专业素质良好', '逻辑思维能力', '钻研能力', '服务意识', '创新能力', '设计能力', '执行能力', '学习能力', '领悟能力', '沟通表达能力', '团队协作能力']|['北京 - 海淀区 - 北京大学 - 中关村soho A1519']
美团点评用户体验部|用户研究员|15k-30k|北京|经验3-5年|['移动互联网', '资深', '高级', 'UE', '用户研究', '用户体验']|10:50|拉勾网|['平台好', '发展空间大']|['执行能力', '沟通表达能力', '设计能力', '良好的职业背景', '专业素质良好', '常用办公软件的使用', '领悟能力', '文案能力', '主动性', '性格好']|['北京 - 朝阳区 - 望京国际研发园F/G']
爱奇艺技术产品中心|用户研究员|13k-26k|上海|经验3-5年|['文化娱乐', '高级', '用户研究']|13:10|拉勾网|['福利好', '成长环境好', '大平台']|['逻辑思维能力', '执行能力', '专业素质良好', '设计能力', '团队协作能力']|['上海 - 徐汇区 - 漕宝路 - 宜山路1388号民润大厦']
韩创科技用户研究|用户研究|12k-19k|上海|经验1-3年|['用户研究', '用户体验', '需求分析']|1天前|拉勾网|['平台大', '机会多', '福利好', '团队氛围佳']|[]|['上海 - 浦东新区 - 上南地区 - 尚博创意园东方路3539号2502室(贰号楼301室)']
友缘在线|用户研究员|10k-20k|北京|经验3-5年|['用户体验', '用户研究']|1天前|拉勾网|['深入产品运营的一线', '参与运营策略制定']|['逻辑思维能力', '设计能力', '执行能力', '专业素质良好', '常用办公软件的使用', '沟通表达能力', '领悟能力', '文案能力', '责任心', '团队协作能力', '工作激情', '良好的职业背景']|['北京 - 朝阳区 - 北苑 - 北美国际商务中心C1座']
酷划在线产品部|用户研究员|15k-25k|北京|经验1-3年|['资深', '高级', '用户体验', '用户研究']|10:25|拉勾网|['产品好', '牛人多', '氛围好', '合理加班']|[]|['北京 - 海淀区 - 学院路 - 圣熙八号购物中心后面 D座6层']
大搜车数据分析部|用户研究员|8k-15k|杭州|经验3-5年|['金融', '用户研究', '专员', '助理', '行业研究']|14:59|拉勾网|['健身房', 'c轮', '免费停车位']|['逻辑思维能力', '专业素质良好', '设计能力', '文案能力', '沟通表达能力', '领导能力', '常用办公软件的使用', '亲和力']|['杭州 - 余杭区 - 五常大道175号']
上海灿福信息科技发展集团有限公司数据中心|用户研究|15K-30K|上海|经验1-3年|['用户研究']|1天前|拉勾网|['精英团队', '稳站市场的公司']|['逻辑思维能力', '沟通表达能力', '团队协作能力', '常用办公软件的使用']|['上海 - 长宁区 - 镇宁路 - 愚园路1258号']
探探产品部|用户研究|15k-30k|北京|经验3-5年|['用户体验', '用户研究']|1天前|拉勾网|['免费三餐', '七险一金', '期权鼓励']|['逻辑思维能力', '设计能力', '专业素质良好', '文案能力', '执行能力', '抗压能力', '责任心', '沟通表达能力', '团队协作能力']|['北京市 - 朝阳区 - 建国门 - 东大桥路光华路SOHO二期C座1601']
玩吧产品部|用户研究|15k-25k|北京|经验3-5年|['移动互联网', '游戏', '用户体验', '用户研究']|10:54|拉勾网|['六险一金', '弹性不打卡', '免费午餐', '季度旅游']|['团队协作能力', '逻辑思维能力', '执行能力', '专业素质良好', '主动性', '设计能力', '钻研能力', '领悟能力', '沟通表达能力']|['北京 - 东城区 - 东直门 - 东直门天恒大厦']
融之家产品部|高级用户研究|15k-30k|上海|经验3-5年|['移动互联网', '金融', '用户研究']|09:45|拉勾网|['福利多多', '定期团建', '零食水果', '年度旅游']|['专业素质良好', '服务意识', '设计能力', '执行能力', '逻辑思维能力', '文案能力', '领悟能力', '钻研能力', '主动性', '抗压能力', '沟通表达能力', '责任心', '学习能力', '创新能力']|['上海 - 杨浦区 - 五角场 - 上海市杨浦区政府路18号波司登大厦14楼']
文都信息产品中心|用户研究员|8k-10k|武汉|经验3-5年|['用户体验', '产品', '用户研究', '教育']|11:53|拉勾网|['五险一金', '弹性上班', '周末双休', '年终奖']|['设计能力', '逻辑思维能力', '上进心', '良好的职业背景', '常用办公软件的使用', '创新能力', '领悟能力', '沟通表达能力', '学习能力']|['武汉 - 洪山区 - 鲁巷 - 邮科院88号烽火创新谷2号楼']
